険	A steep hill rises beside a narrow gathering place: a risky climb.
警	Careful words warn everyone to stay alert.
害	A mouth cries out beneath a damaged roof: harm has been done.
罪	A net catches something that is not right: remember a crime being uncovered.
犯	Picture an animal crossing a boundary it should not cross: an offense.
誤	Words lead to a loud reaction when a mistake is discovered.
違	The road goes around the wrong side of a barrier: the route is different.
盗	A hand reaches toward a dish that belongs to someone else: stealing.
戦	A weapon stands beside a simple plan for battle.
争	Hands pull at the same object because each person wants it: a dispute.
殺	A hand brings a weapon down on a living tree: a life is ended.
亡	An empty corner remains where someone used to stand: they are gone.
失	Something slips past an outstretched hand and is lost.
勝	Strength lifts you above the other side: picture winning a contest.
敗	A hand knocks over the valuable prize after a defeat.
負	Someone bends beneath a load of valuable shells: a burden or a loss.
反	A hand turns back beneath a ledge and moves in the opposite direction.
対	Two sides face one another like matched hands across a table.
打	A hand strikes a small nail with one sharp movement.
投	A hand releases a tool through the air: a throw.
突	Something large rushes out of a hole in a sudden thrust.
倒	A person reaches the end of their balance and topples over.
破	A stone cracks through a thin outer skin and breaks it apart.
消	Water washes away the small traces until they disappear.
除	A hillside is cleared of extra material: what was in the way is removed.
断	An axe cuts off the flow of grain at a sharp boundary.
治	Water settles beside a stable platform: imagine restoring things to good order.
曲	Lines bend inside a small frame like the turning notes of a melody.
演	Water moves beneath a stage-like roof while a performance unfolds.
舞	Picture a dancer's feet stepping beneath a wide spread of moving sleeves.
絵	Threads come together to form a colorful picture.
因	A large thing sits inside a frame: this central cause explains what surrounds it.
由	A line rises from the middle of a field like the source of a story.
性	The heart beside life points to the nature someone is born with.
状	A shape beside a dog records its current condition.
件	A person counts a cow as one item in the matter being discussed.
平	Two short marks balance above a level bar: everything is flat and even.
和	Grain and a mouth together mean enough food and peaceful harmony.
等	Bamboo pieces are measured at a temple until they are equal.
互	Two shapes hook toward one another in a mutual exchange.
相	An eye looks at the tree opposite it: two things relate to each other.
他	The person standing over there is someone other than yourself.
非	Two rows face away from each other: this is not the same or not correct.
否	A mouth beneath a negative sign answers with a clear no.
然	A fire burns below the scene as things take their natural course.
当	A small mark lands squarely on the target beneath it: the right place.
配	Containers are set out beside one another as portions are distributed.
構	Trees are arranged into a framework that supports a structure.
積	Grain is piled up like valuable goods: the amount accumulates.
付	A person's hand attaches a small note to something beside them.
速	A bundle moves along the road without stopping: a fast delivery.
忙	The heart races while time seems to vanish: a busy day.
活	Water refreshes the tongue and brings it back to life.
労	Strength works beneath a covered space: picture the effort of daily labor.
存	A child remains beneath a protective ledge: its presence continues.
在	Earth lies beneath the ledge right where you are: being present in a place.
残	The remains of a damaged object still lie beside a small weapon.
余	A little extra stays below the roof after everyone's share is handed out.
欠	A person opens their mouth wide as if something is missing and needs to be taken in.
閉	A bar is placed inside the gate so it stays closed.
放	A hand points in a direction and lets something go free.
込	Enter the road and go farther inside: moving into a crowded space.
抱	A hand wraps around a bundle and holds it close in an embrace.
偶	A person meets an unexpected figure by chance on the path.
偉	A person stands beside an impressive structure: someone remarkable.
様	Water and a sheep-like shape beside a tree form a distinctive pattern or manner.
皆	Everyone stands together above the same bright white ground.
信	A person's words can be relied on: trust what they say.
例	A person points to one item in a row to give an example.
単	A single line runs through a small central box: keep the arrangement simple.
原	A spring flows from beneath a cliff: the original source.
種	A heavy head of grain holds the seeds for another crop.
容	A valley sheltered by a roof has room to contain what you bring.
交	Picture two paths crossing as people exchange places.
利	A knife helps harvest grain efficiently: a useful advantage.
割	A blade separates a damaged object into portions.
与	A hand-like curve holds something out beneath a bar: giving it to someone.
緒	Threads begin together at the same starting point.
号	A mouth calls out the number marked beneath it.
点	A small dark mark sits above four dots: a point you can indicate.
局	An opening beneath a shelter serves one particular office or department.
際	An offering sits at the edge of a hill, marking a boundary between places.
頂	At the top of your head, imagine the highest point of a mountain.
過	The road winds past an opening and continues beyond it.
程	Grain reaches a measured height beside a display: the degree of growth.
更	The sun moves through the center of the scene as things change once again.
刻	A knife makes a small mark to record an exact moment in time.
最	When the sun reaches the highest point, it has gone the farthest of all.
探	A hand searches among the branches of a tree for something hidden.
捕	A hand reaches out beside a field and catches what was moving there.
処	A traveler stops on the path to deal with what needs attention.
命	A person receives words under a roof that may shape their whole life.
球	A round jewel is polished until it rolls like a ball.
静	A blue scene settles after a struggle ends: everything becomes quiet.
煙	Fire sends a cloud upward from the ground: smoke drifts away.
雑	Many different things gather around a bird and a tree: a mixed collection.
降	Follow the hillside downward until your feet reach the lower path.
直	Look along a single straight line and correct anything out of place.
調	Words circle carefully around a topic until the tone is adjusted.
